階層,人数,業種,年,総額
"1,000万円以下",902056,卸売業，小売業,2016,95318
"1,500万円以下",1726032,卸売業，小売業,2016,146576
"2,000万円以下",733021,卸売業，小売業,2016,42597
"2,500万円以下",256463,卸売業，小売業,2016,11588
"2,500万円超",626850,卸売業，小売業,2016,15515
100万円以下,958060,卸売業，小売業,2015,1188178
200万円以下,2360601,卸売業，小売業,2015,1657718
300万円以下,2841444,卸売業，小売業,2015,1141675
400万円以下,4002124,卸売業，小売業,2015,1141544
500万円以下,4217519,卸売業，小売業,2015,942252
600万円以下,3361087,卸売業，小売業,2015,614056
700万円以下,2459161,卸売業，小売業,2015,380217
800万円以下,1750318,卸売業，小売業,2015,234886
900万円以下,1267922,卸売業，小売業,2015,149921
"1,000万円以下",737510,卸売業，小売業,2015,77917
"1,500万円以下",1859725,卸売業，小売業,2015,158575
"2,000万円以下",929740,卸売業，小売業,2015,52282
"2,500万円以下",274654,卸売業，小売業,2015,12296
"2,500万円超",592436,卸売業，小売業,2015,13956
100万円以下,940316,卸売業，小売業,2014,1173675
200万円以下,2312849,卸売業，小売業,2014,1630317
300万円以下,2990129,卸売業，小売業,2014,1198721
400万円以下,3931313,卸売業，小売業,2014,1121810
500万円以下,4176193,卸売業，小売業,2014,933127
600万円以下,3677355,卸売業，小売業,2014,671651
700万円以下,2541321,卸売業，小売業,2014,394507
800万円以下,1841390,卸売業，小売業,2014,246844
900万円以下,1263501,卸売業，小売業,2014,149118
"1,000万円以下",724294,卸売業，小売業,2014,76235
"1,500万円以下",1638831,卸売業，小売業,2014,138168
"2,000万円以下",653720,卸売業，小売業,2014,38222
"2,500万円以下",266048,卸売業，小売業,2014,12107
"2,500万円超",666171,卸売業，小売業,2014,14977
100万円以下,475929,宿泊業，飲食サービス業,2023,621708
200万円以下,611608,宿泊業，飲食サービス業,2023,451426
300万円以下,730203,宿泊業，飲食サービス業,2023,291347
400万円以下,977665,宿泊業，飲食サービス業,2023,279473
500万円以下,861678,宿泊業，飲食サービス業,2023,193558
600万円以下,634999,宿泊業，飲食サービス業,2023,116068
